id,student_id,date,status,
1,1,2025-03-31,attending,
2,1,2025-04-01,attending,
3,1,2025-04-02,absence,
4,1,2025-04-03,attending,
5,1,2025-04-04,justified,
6,1,2025-04-05,attending,
7,2,2025-03-31,attending,
8,2,2025-04-01,absence,
9,2,2025-04-02,absence,
10,2,2025-04-03,attending,
11,2,2025-04-04,attending,
12,2,2025-04-05,justified,
13,3,2025-03-31,justified,
14,3,2025-04-01,attending,
15,3,2025-04-02,attending,
16,3,2025-04-03,attending,
17,3,2025-04-04,attending,
18,3,2025-04-05,attending,
19,4,2025-03-31,absence,
20,4,2025-04-01,absence,
21,4,2025-04-02,justified,
22,4,2025-04-03,absence,
23,4,2025-04-04,attending,
24,4,2025-04-05,attending,
25,5,2025-03-31,attending,
26,5,2025-04-01,attending,
27,5,2025-04-02,attending,
28,5,2025-04-03,justified,
29,5,2025-04-04,attending,
30,5,2025-04-05,attending,
31,6,2025-03-31,attending,
32,6,2025-04-01,attending,
33,6,2025-04-02,attending,
34,6,2025-04-03,attending,
35,6,2025-04-04,absence,
36,6,2025-04-05,attending,
37,7,2025-03-31,absence,
38,7,2025-04-01,justified,
39,7,2025-04-02,attending,
40,7,2025-04-03,attending,
41,7,2025-04-04,attending,
42,7,2025-04-05,absence,
43,8,2025-03-31,attending,
44,8,2025-04-01,attending,
45,8,2025-04-02,absence,
46,8,2025-04-03,justified,
47,8,2025-04-04,attending,
48,8,2025-04-05,attending,
49,9,2025-03-31,attending,
50,9,2025-04-01,absence,
51,9,2025-04-02,absence,
52,9,2025-04-03,attending,
53,9,2025-04-04,attending,
54,9,2025-04-05,attending,
55,10,2025-03-31,justified,
56,10,2025-04-01,attending,
57,10,2025-04-02,attending,
58,10,2025-04-03,attending,
59,10,2025-04-04,absence,
60,10,2025-04-05,attending,
61,11,2025-03-31,attending,
62,11,2025-04-01,attending,
63,11,2025-04-02,attending,
64,11,2025-04-03,attending,
65,11,2025-04-04,attending,
66,11,2025-04-05,justified,
67,12,2025-03-31,absence,
68,12,2025-04-01,attending,
69,12,2025-04-02,attending,
70,12,2025-04-03,justified,
71,12,2025-04-04,attending,
72,12,2025-04-05,attending,
73,13,2025-03-31,attending,
74,13,2025-04-01,absence,
75,13,2025-04-02,attending,
76,13,2025-04-03,attending,
77,13,2025-04-04,attending,
78,13,2025-04-05,absence,
79,14,2025-03-31,attending,
80,14,2025-04-01,attending,
81,14,2025-04-02,justified,
82,14,2025-04-03,attending,
83,14,2025-04-04,absence,
84,14,2025-04-05,attending,
85,15,2025-03-31,attending,
86,15,2025-04-01,attending,
87,15,2025-04-02,attending,
88,15,2025-04-03,attending,
89,15,2025-04-04,attending,
90,15,2025-04-05,attending,
